,Year,Quantity,Exchange,Shift
0,1985 to 1986,503569,1912075.0,1105907.0
1,1986 to 1987,1152205,1542934.0,1004023.0
2,1987 to 1988,1659816,2334776.0,1275793.0
3,1988 to 1989,1221229,3300134.0,1745175.0
4,1989 to 1990,480988,3029433.0,1745283.0
5,1990 to 1991,1229979,2173663.0,1218235.0
6,1991 to 1992,1251259,2634733.0,1712286.0
7,1992 to 1993,1691522,2295091.0,1232878.0
8,1993 to 1994,1603678,2673584.0,1381813.0
9,1994 to 1995,1830813,2474313.0,1489925.0
10,1995 to 1996,1870975,2369099.0,1283603.0
11,1996 to 1997,1672890,2714797.0,1562530.0
12,1997 to 1998,1356639,2849769.0,1793642.0
13,1998 to 1999,1985603,2065240.0,1154130.0
14,1999 to 2000,1398911,2386349.0,1494641.0
15,2000 to 2001,1300564,2597387.0,1461924.0
16,2001 to 2002,2573026,3029369.0,1943342.0
17,2002 to 2003,2538373,3755779.0,2030254.0
18,2003 to 2004,1959111,2342319.0,1757983.0
19,2004 to 2005,1948901,2172520.0,1327951.0
20,2005 to 2006,1506053,2249292.0,1262991.0
21,2006 to 2007,1324439,2064466.0,1265906.0
22,2007 to 2008,910475,2637284.0,1497668.0
23,2008 to 2009,704850,2110642.0,1328735.0
24,2009 to 2010,535530,2210937.0,1562193.0
25,2010 to 2011,709982,2340243.0,1425255.0
26,2011 to 2012,476051,2995602.0,1750226.0
27,2012 to 2013,671492,2893867.0,1629149.0
28,2013 to 2014,696887,2092693.0,1508948.0
29,2014 to 2015,750391,2022610.0,1313456.0
30,2015 to 2016,1442996,2175347.0,1420657.0
31,2016 to 2017,480646,2605631.0,1560887.0
32,2017 to 2018,1468489,2365651.0,1524343.0
33,2018 to 2019,645591,3329917.0,1963143.0
