,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,1239.0,0.0,1239.0,1.0,13.0
1,1985 to 1986,Beach and Dune,2.0,0.0,2.0,81.0,22.0
2,1985 to 1986,Forest Plantation,19.0,0.0,19.0,15.0,6.0
3,1985 to 1986,Grassland,357794.0,0.0,357794.0,144689.0,134.0
4,1985 to 1986,Mining,6.0,0.0,6.0,2.0,-0.0
5,1985 to 1986,Mosaic of Agriculture and Pasture,2.0,0.0,2.0,0.0,-0.0
6,1985 to 1986,Natural Forest,142326.0,0.0,142326.0,912569.0,115126.0
7,1985 to 1986,Non Observed,121.0,0.0,121.0,108.0,41.0
8,1985 to 1986,Other Non Vegetated Area,2060.0,0.0,2060.0,10.0,0.0
9,1985 to 1986,Pasture,125936.0,125936.0,0.0,775291.0,34397.0
10,1985 to 1986,"River, Lake and Ocean",360344.0,360344.0,0.0,79059.0,128.0
11,1985 to 1986,Salt flat,113.0,113.0,0.0,249.0,3.0
12,1985 to 1986,Urban Infrastructure,17177.0,17177.0,0.0,1.0,0.0
13,1985 to 1986,Wetland,0.0,0.0,0.0,0.0,0.0
14,1986 to 1987,Agriculture,203.0,0.0,203.0,16.0,53.0
15,1986 to 1987,Beach and Dune,14.0,14.0,0.0,18.0,-0.0
16,1986 to 1987,Forest Plantation,2120.0,2120.0,0.0,14.0,1.0
17,1986 to 1987,Grassland,57341.0,0.0,57341.0,242511.0,36830.0
18,1986 to 1987,Mining,14.0,14.0,0.0,0.0,0.0
19,1986 to 1987,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
20,1986 to 1987,Natural Forest,918018.0,0.0,918018.0,666870.0,188765.0
21,1986 to 1987,Non Observed,16.0,16.0,0.0,98.0,11.0
22,1986 to 1987,Other Non Vegetated Area,2556.0,2556.0,0.0,0.0,0.0
23,1986 to 1987,Pasture,1138114.0,1138114.0,0.0,511922.0,6896.0
24,1986 to 1987,"River, Lake and Ocean",176642.0,0.0,176642.0,121455.0,-0.0
25,1986 to 1987,Salt flat,31.0,31.0,0.0,28.0,0.0
26,1986 to 1987,Urban Infrastructure,9340.0,9340.0,0.0,1.0,0.0
27,1986 to 1987,Wetland,0.0,0.0,0.0,0.0,0.0
28,1987 to 1988,Agriculture,719.0,719.0,0.0,71.0,15.0
29,1987 to 1988,Beach and Dune,41.0,41.0,0.0,19.0,0.0
30,1987 to 1988,Forest Plantation,76.0,76.0,0.0,37.0,0.0
31,1987 to 1988,Grassland,39852.0,0.0,39852.0,430574.0,24537.0
32,1987 to 1988,Mining,29.0,29.0,0.0,4.0,0.0
33,1987 to 1988,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
34,1987 to 1988,Natural Forest,1605414.0,0.0,1605414.0,1020166.0,63250.0
35,1987 to 1988,Non Observed,132.0,0.0,132.0,126.0,13.0
36,1987 to 1988,Other Non Vegetated Area,1992.0,0.0,1992.0,450.0,27.0
37,1987 to 1988,Pasture,1653646.0,1653646.0,0.0,639303.0,4053.0
38,1987 to 1988,"River, Lake and Ocean",12427.0,0.0,12427.0,243929.0,16506.0
39,1987 to 1988,Salt flat,272.0,272.0,0.0,94.0,3.0
40,1987 to 1988,Urban Infrastructure,5034.0,5034.0,0.0,2.0,0.0
41,1987 to 1988,Wetland,0.0,0.0,0.0,0.0,-0.0
42,1988 to 1989,Agriculture,27913.0,27913.0,0.0,4131.0,101.0
43,1988 to 1989,Beach and Dune,321.0,321.0,0.0,113.0,0.0
44,1988 to 1989,Forest Plantation,3836.0,0.0,3836.0,3447.0,0.0
45,1988 to 1989,Grassland,84316.0,84316.0,0.0,356848.0,65084.0
46,1988 to 1989,Mining,49.0,0.0,49.0,15.0,19.0
47,1988 to 1989,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
48,1988 to 1989,Natural Forest,1217298.0,0.0,1217298.0,1493105.0,1740.0
49,1988 to 1989,Non Observed,47.0,0.0,47.0,241.0,54.0
50,1988 to 1989,Other Non Vegetated Area,1287.0,1287.0,0.0,150.0,8.0
51,1988 to 1989,Pasture,976498.0,976498.0,0.0,1192930.0,27247.0
52,1988 to 1989,"River, Lake and Ocean",120205.0,120205.0,0.0,248803.0,847.0
53,1988 to 1989,Salt flat,1808.0,1808.0,0.0,348.0,6.0
54,1988 to 1989,Urban Infrastructure,8881.0,8881.0,0.0,3.0,1.0
55,1988 to 1989,Wetland,0.0,0.0,0.0,0.0,0.0
56,1989 to 1990,Agriculture,15375.0,15375.0,0.0,5568.0,139.0
57,1989 to 1990,Beach and Dune,75.0,75.0,0.0,21.0,-0.0
58,1989 to 1990,Forest Plantation,17677.0,0.0,17677.0,441.0,0.0
59,1989 to 1990,Grassland,110265.0,0.0,110265.0,280181.0,36276.0
60,1989 to 1990,Mining,28.0,28.0,0.0,4.0,0.0
61,1989 to 1990,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
62,1989 to 1990,Natural Forest,352923.0,0.0,352923.0,1389750.0,132250.0
63,1989 to 1990,Non Observed,124.0,0.0,124.0,140.0,13.0
64,1989 to 1990,Other Non Vegetated Area,804.0,804.0,0.0,1357.0,19.0
65,1989 to 1990,Pasture,344436.0,344436.0,0.0,1136112.0,47619.0
66,1989 to 1990,"River, Lake and Ocean",116544.0,116544.0,0.0,215387.0,14246.0
67,1989 to 1990,Salt flat,617.0,617.0,0.0,468.0,3.0
68,1989 to 1990,Urban Infrastructure,3109.0,3109.0,0.0,4.0,2.0
69,1989 to 1990,Wetland,0.0,0.0,0.0,0.0,0.0
70,1990 to 1991,Agriculture,4042.0,4042.0,0.0,10072.0,149.0
71,1990 to 1991,Beach and Dune,45.0,45.0,0.0,44.0,1.0
72,1990 to 1991,Forest Plantation,19530.0,19530.0,0.0,38.0,0.0
73,1990 to 1991,Grassland,64512.0,64512.0,0.0,254258.0,89429.0
74,1990 to 1991,Mining,51.0,51.0,0.0,2.0,-0.0
75,1990 to 1991,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
76,1990 to 1991,Natural Forest,1128634.0,0.0,1128634.0,980064.0,38743.0
77,1990 to 1991,Non Observed,17.0,0.0,17.0,151.0,5.0
78,1990 to 1991,Other Non Vegetated Area,1217.0,0.0,1217.0,669.0,46.0
79,1990 to 1991,Pasture,1137961.0,1137961.0,0.0,770107.0,2933.0
80,1990 to 1991,"River, Lake and Ocean",100111.0,0.0,100111.0,157975.0,98.0
81,1990 to 1991,Salt flat,541.0,541.0,0.0,279.0,0.0
82,1990 to 1991,Urban Infrastructure,3297.0,3297.0,0.0,5.0,1.0
83,1990 to 1991,Wetland,0.0,0.0,0.0,0.0,0.0
84,1991 to 1992,Agriculture,196.0,0.0,196.0,10685.0,2245.0
85,1991 to 1992,Beach and Dune,54.0,54.0,0.0,17.0,2.0
86,1991 to 1992,Forest Plantation,2847.0,0.0,2847.0,3466.0,3.0
87,1991 to 1992,Grassland,185878.0,0.0,185878.0,335317.0,54436.0
88,1991 to 1992,Mining,47.0,47.0,0.0,4.0,2.0
89,1991 to 1992,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
90,1991 to 1992,Natural Forest,1032080.0,0.0,1032080.0,1181217.0,252720.0
91,1991 to 1992,Non Observed,0.0,0.0,0.0,146.0,31.0
92,1991 to 1992,Other Non Vegetated Area,1105.0,0.0,1105.0,30.0,0.0
