,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,49.0,0.0,49.0,2.0,1.0
1,1985 to 1986,Aquaculture,2585.0,2585.0,0.0,8.0,17.0
2,1985 to 1986,Beach and Dune,443.0,443.0,0.0,355.0,19.0
3,1985 to 1986,Forest Plantation,0.0,0.0,0.0,0.0,0.0
4,1985 to 1986,Grassland,10298.0,10298.0,0.0,27871.0,6862.0
5,1985 to 1986,Mining,0.0,0.0,0.0,0.0,-0.0
6,1985 to 1986,Mosaic of Agriculture and Pasture,72263.0,0.0,72263.0,67637.0,2916.0
7,1985 to 1986,Natural Forest,20961.0,20961.0,0.0,67711.0,21322.0
8,1985 to 1986,Non Observed,338.0,0.0,338.0,36.0,12.0
9,1985 to 1986,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
10,1985 to 1986,Other Non Vegetated Area,5256.0,0.0,5256.0,3602.0,523.0
11,1985 to 1986,Pasture,16485.0,16485.0,0.0,31905.0,12001.0
12,1985 to 1986,"River, Lake and Ocean",459.0,0.0,459.0,12912.0,1169.0
13,1985 to 1986,Rocky outcrop,11189.0,11189.0,0.0,12586.0,1409.0
14,1985 to 1986,Salt flat,190.0,190.0,0.0,42.0,0.0
15,1985 to 1986,Urban Infrastructure,16216.0,16216.0,0.0,3.0,0.0
16,1986 to 1987,Agriculture,8.0,0.0,8.0,3.0,1.0
17,1986 to 1987,Aquaculture,60.0,60.0,0.0,5.0,11.0
18,1986 to 1987,Beach and Dune,62.0,62.0,0.0,262.0,10.0
19,1986 to 1987,Forest Plantation,24.0,24.0,0.0,0.0,-0.0
20,1986 to 1987,Grassland,47450.0,0.0,47450.0,52094.0,42540.0
21,1986 to 1987,Mining,1.0,1.0,0.0,0.0,0.0
22,1986 to 1987,Mosaic of Agriculture and Pasture,20495.0,20495.0,0.0,338668.0,214863.0
23,1986 to 1987,Natural Forest,401704.0,0.0,401704.0,275335.0,25359.0
24,1986 to 1987,Non Observed,18.0,0.0,18.0,23.0,5.0
25,1986 to 1987,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
26,1986 to 1987,Other Non Vegetated Area,22685.0,0.0,22685.0,3275.0,6424.0
27,1986 to 1987,Pasture,567716.0,567716.0,0.0,154432.0,1048.0
28,1986 to 1987,"River, Lake and Ocean",85705.0,0.0,85705.0,6771.0,-0.0
29,1986 to 1987,Rocky outcrop,36877.0,0.0,36877.0,22350.0,683.0
30,1986 to 1987,Salt flat,21.0,21.0,0.0,11.0,0.0
31,1986 to 1987,Urban Infrastructure,6068.0,6068.0,0.0,6.0,0.0
32,1987 to 1988,Agriculture,21.0,0.0,21.0,2.0,1.0
33,1987 to 1988,Aquaculture,2555.0,2555.0,0.0,355.0,1.0
34,1987 to 1988,Beach and Dune,141.0,141.0,0.0,364.0,24.0
35,1987 to 1988,Forest Plantation,33.0,33.0,0.0,1.0,0.0
36,1987 to 1988,Grassland,46457.0,0.0,46457.0,99632.0,21757.0
37,1987 to 1988,Mining,0.0,0.0,0.0,1.0,0.0
38,1987 to 1988,Mosaic of Agriculture and Pasture,129237.0,0.0,129237.0,361829.0,230612.0
39,1987 to 1988,Natural Forest,302937.0,0.0,302937.0,355282.0,3767.0
40,1987 to 1988,Non Observed,183.0,0.0,183.0,44.0,56.0
41,1987 to 1988,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
42,1987 to 1988,Other Non Vegetated Area,7638.0,7638.0,0.0,3462.0,3925.0
43,1987 to 1988,Pasture,431689.0,431689.0,0.0,186318.0,9974.0
44,1987 to 1988,"River, Lake and Ocean",52878.0,52878.0,0.0,15089.0,452.0
45,1987 to 1988,Rocky outcrop,18924.0,0.0,18924.0,13086.0,1.0
