,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,279841.0,0.0,279841.0,162456.0,56181.0
1,1985 to 1986,Beach and Dune,254.0,0.0,254.0,69.0,44.0
2,1985 to 1986,Forest Plantation,3.0,0.0,3.0,310.0,497.0
3,1985 to 1986,Grassland,247413.0,247413.0,0.0,64700.0,69521.0
4,1985 to 1986,Mining,0.0,0.0,0.0,7.0,2.0
5,1985 to 1986,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,0.0,0.0
6,1985 to 1986,Natural Forest,96809.0,96809.0,0.0,187806.0,47049.0
7,1985 to 1986,Non Observed,0.0,0.0,0.0,6.0,2.0
8,1985 to 1986,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
9,1985 to 1986,Other Non Vegetated Area,31341.0,0.0,31341.0,81104.0,15759.0
10,1985 to 1986,Pasture,48893.0,0.0,48893.0,262689.0,47907.0
11,1985 to 1986,"River, Lake and Ocean",4344.0,4344.0,0.0,4951.0,295.0
12,1985 to 1986,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
13,1985 to 1986,Salt flat,9.0,0.0,9.0,17.0,11.0
14,1985 to 1986,Urban Infrastructure,11775.0,11775.0,0.0,4.0,0.0
15,1985 to 1986,Wetland,1.0,0.0,1.0,0.0,-0.0
16,1986 to 1987,Agriculture,116591.0,0.0,116591.0,134751.0,42275.0
17,1986 to 1987,Beach and Dune,50.0,0.0,50.0,60.0,2.0
18,1986 to 1987,Forest Plantation,16307.0,16307.0,0.0,604.0,160.0
19,1986 to 1987,Grassland,73278.0,0.0,73278.0,93352.0,24867.0
20,1986 to 1987,Mining,5.0,5.0,0.0,1.0,1.0
21,1986 to 1987,Mosaic of Agriculture and Pasture,2.0,2.0,0.0,2.0,1.0
22,1986 to 1987,Natural Forest,480602.0,0.0,480602.0,544456.0,94307.0
23,1986 to 1987,Non Observed,1.0,1.0,0.0,7.0,1.0
24,1986 to 1987,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
25,1986 to 1987,Other Non Vegetated Area,41880.0,0.0,41880.0,56849.0,20475.0
26,1986 to 1987,Pasture,701204.0,701204.0,0.0,601537.0,30418.0
27,1986 to 1987,"River, Lake and Ocean",15356.0,0.0,15356.0,5835.0,96.0
28,1986 to 1987,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
29,1986 to 1987,Salt flat,0.0,0.0,0.0,2.0,2.0
30,1986 to 1987,Urban Infrastructure,10238.0,10238.0,0.0,5.0,0.0
31,1986 to 1987,Wetland,0.0,0.0,0.0,0.0,0.0
32,1987 to 1988,Agriculture,171869.0,171869.0,0.0,150906.0,3414.0
33,1987 to 1988,Beach and Dune,179.0,179.0,0.0,127.0,8.0
34,1987 to 1988,Forest Plantation,21729.0,21729.0,0.0,285.0,238.0
35,1987 to 1988,Grassland,85830.0,0.0,85830.0,91816.0,0.0
36,1987 to 1988,Mining,24.0,24.0,0.0,5.0,1.0
37,1987 to 1988,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,2.0,0.0
38,1987 to 1988,Natural Forest,927984.0,0.0,927984.0,394459.0,63460.0
39,1987 to 1988,Non Observed,3.0,0.0,3.0,4.0,2.0
40,1987 to 1988,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
41,1987 to 1988,Other Non Vegetated Area,22263.0,0.0,22263.0,38914.0,27837.0
42,1987 to 1988,Pasture,826060.0,826060.0,0.0,540177.0,12663.0
43,1987 to 1988,"River, Lake and Ocean",2878.0,2878.0,0.0,3444.0,184.0
44,1987 to 1988,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
45,1987 to 1988,Salt flat,2.0,2.0,0.0,48.0,17.0
46,1987 to 1988,Urban Infrastructure,13337.0,13337.0,0.0,3.0,0.0
47,1987 to 1988,Wetland,0.0,0.0,0.0,0.0,0.0
48,1988 to 1989,Agriculture,604567.0,604567.0,0.0,189709.0,2152.0
49,1988 to 1989,Beach and Dune,383.0,383.0,0.0,92.0,-0.0
50,1988 to 1989,Forest Plantation,7751.0,0.0,7751.0,25440.0,821.0
51,1988 to 1989,Grassland,144131.0,0.0,144131.0,83134.0,24380.0
52,1988 to 1989,Mining,535.0,535.0,0.0,34.0,-0.0
53,1988 to 1989,Mosaic of Agriculture and Pasture,1.0,1.0,0.0,2.0,1.0
54,1988 to 1989,Natural Forest,1021215.0,0.0,1021215.0,293799.0,30398.0
55,1988 to 1989,Non Observed,1.0,1.0,0.0,3.0,3.0
56,1988 to 1989,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
57,1988 to 1989,Other Non Vegetated Area,12176.0,0.0,12176.0,38791.0,18460.0
58,1988 to 1989,Pasture,567273.0,567273.0,0.0,439140.0,262809.0
59,1988 to 1989,"River, Lake and Ocean",1727.0,1727.0,0.0,1977.0,620.0
60,1988 to 1989,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
61,1988 to 1989,Salt flat,23.0,0.0,23.0,35.0,3.0
62,1988 to 1989,Urban Infrastructure,10809.0,10809.0,0.0,3.0,0.0
63,1988 to 1989,Wetland,0.0,0.0,0.0,0.0,-0.0
64,1989 to 1990,Agriculture,229395.0,229395.0,0.0,250314.0,3172.0
65,1989 to 1990,Beach and Dune,158.0,158.0,0.0,55.0,-0.0
66,1989 to 1990,Forest Plantation,16566.0,16566.0,0.0,52844.0,351.0
67,1989 to 1990,Grassland,85468.0,0.0,85468.0,95109.0,18707.0
68,1989 to 1990,Mining,13.0,13.0,0.0,4.0,1.0
69,1989 to 1990,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,2.0,0.0
70,1989 to 1990,Natural Forest,757733.0,0.0,757733.0,301479.0,17963.0
71,1989 to 1990,Non Observed,3.0,0.0,3.0,4.0,0.0
72,1989 to 1990,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
73,1989 to 1990,Other Non Vegetated Area,6569.0,6569.0,0.0,36731.0,22775.0
74,1989 to 1990,Pasture,581165.0,581165.0,0.0,480473.0,93024.0
75,1989 to 1990,"River, Lake and Ocean",1672.0,1672.0,0.0,1875.0,86.0
76,1989 to 1990,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
77,1989 to 1990,Salt flat,49.0,49.0,0.0,20.0,0.0
78,1989 to 1990,Urban Infrastructure,7619.0,7619.0,0.0,6.0,-0.0
79,1989 to 1990,Wetland,0.0,0.0,0.0,0.0,0.0
80,1990 to 1991,Agriculture,209566.0,209566.0,0.0,258277.0,1124.0
81,1990 to 1991,Beach and Dune,916.0,916.0,0.0,321.0,2.0
82,1990 to 1991,Forest Plantation,147027.0,147027.0,0.0,1898.0,17.0
83,1990 to 1991,Grassland,83246.0,0.0,83246.0,94861.0,377.0
84,1990 to 1991,Mining,0.0,0.0,0.0,11.0,10.0
85,1990 to 1991,Mosaic of Agriculture and Pasture,1.0,0.0,1.0,2.0,1.0
86,1990 to 1991,Natural Forest,886072.0,0.0,886072.0,195055.0,14995.0
87,1990 to 1991,Non Observed,2.0,2.0,0.0,5.0,1.0
88,1990 to 1991,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
89,1990 to 1991,Other Non Vegetated Area,1170.0,0.0,1170.0,37058.0,28539.0
90,1990 to 1991,Pasture,588396.0,588396.0,0.0,440905.0,63766.0
91,1990 to 1991,"River, Lake and Ocean",16957.0,16957.0,0.0,2568.0,581.0
92,1990 to 1991,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
93,1990 to 1991,Salt flat,740.0,740.0,0.0,79.0,9.0
94,1990 to 1991,Urban Infrastructure,6886.0,6886.0,0.0,8.0,-0.0
95,1990 to 1991,Wetland,1.0,0.0,1.0,0.0,-0.0
96,1991 to 1992,Agriculture,122345.0,122345.0,0.0,279028.0,73643.0
97,1991 to 1992,Beach and Dune,42.0,0.0,42.0,123.0,128.0
98,1991 to 1992,Forest Plantation,290.0,0.0,290.0,8327.0,2299.0
99,1991 to 1992,Grassland,35759.0,0.0,35759.0,103859.0,11885.0
