,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,2060.0,0.0,2060.0,36.0,282.0
1,1985 to 1986,Aquaculture,389.0,389.0,0.0,1.0,1.0
2,1985 to 1986,Beach and Dune,428.0,428.0,0.0,444.0,2.0
3,1985 to 1986,Forest Plantation,895.0,895.0,0.0,831.0,279.0
4,1985 to 1986,Grassland,1338.0,0.0,1338.0,432.0,3.0
5,1985 to 1986,Mining,17.0,0.0,17.0,5.0,0.0
6,1985 to 1986,Mosaic of Agriculture and Pasture,8692.0,8692.0,0.0,46637.0,24063.0
7,1985 to 1986,Natural Forest,50051.0,0.0,50051.0,15253.0,178.0
8,1985 to 1986,Non Observed,17.0,17.0,0.0,73.0,10.0
9,1985 to 1986,Other Non Forest Natural Formation,779.0,0.0,779.0,866.0,624.0
10,1985 to 1986,Other Non Vegetated Area,17851.0,0.0,17851.0,4996.0,1107.0
11,1985 to 1986,Pasture,18055.0,18055.0,0.0,38880.0,1986.0
12,1985 to 1986,"River, Lake and Ocean",8682.0,8682.0,0.0,424.0,416.0
13,1985 to 1986,Rocky outcrop,1758.0,1758.0,0.0,540.0,1.0
14,1985 to 1986,Salt flat,72.0,72.0,0.0,59.0,10.0
15,1985 to 1986,Urban Infrastructure,33470.0,33470.0,0.0,24.0,4.0
16,1985 to 1986,Wetland,363.0,0.0,363.0,953.0,679.0
17,1986 to 1987,Agriculture,37693.0,0.0,37693.0,30059.0,36.0
18,1986 to 1987,Aquaculture,0.0,0.0,0.0,1.0,0.0
19,1986 to 1987,Beach and Dune,295.0,295.0,0.0,251.0,5.0
20,1986 to 1987,Forest Plantation,10377.0,10377.0,0.0,1582.0,1.0
21,1986 to 1987,Grassland,2125.0,0.0,2125.0,3128.0,-0.0
22,1986 to 1987,Mining,20.0,20.0,0.0,4.0,0.0
23,1986 to 1987,Mosaic of Agriculture and Pasture,155067.0,155067.0,0.0,323595.0,193332.0
24,1986 to 1987,Natural Forest,438477.0,0.0,438477.0,111122.0,2223.0
25,1986 to 1987,Non Observed,13.0,13.0,0.0,69.0,11.0
26,1986 to 1987,Other Non Forest Natural Formation,531.0,531.0,0.0,2904.0,1704.0
27,1986 to 1987,Other Non Vegetated Area,15425.0,0.0,15425.0,8467.0,2117.0
28,1986 to 1987,Pasture,264270.0,264270.0,0.0,243240.0,11225.0
29,1986 to 1987,"River, Lake and Ocean",18642.0,18642.0,0.0,326.0,121.0
30,1986 to 1987,Rocky outcrop,2805.0,2805.0,0.0,839.0,6.0
31,1986 to 1987,Salt flat,20.0,20.0,0.0,17.0,3.0
32,1986 to 1987,Urban Infrastructure,27147.0,27147.0,0.0,24.0,0.0
33,1986 to 1987,Wetland,14534.0,14534.0,0.0,3264.0,543.0
34,1987 to 1988,Agriculture,3976.0,0.0,3976.0,13039.0,433.0
35,1987 to 1988,Aquaculture,9.0,0.0,9.0,246.0,214.0
36,1987 to 1988,Beach and Dune,313.0,313.0,0.0,298.0,3.0
37,1987 to 1988,Forest Plantation,17917.0,17917.0,0.0,2490.0,3.0
38,1987 to 1988,Grassland,2847.0,0.0,2847.0,5199.0,0.0
39,1987 to 1988,Mining,84.0,84.0,0.0,11.0,2.0
40,1987 to 1988,Mosaic of Agriculture and Pasture,2831.0,2831.0,0.0,378526.0,186207.0
41,1987 to 1988,Natural Forest,274224.0,0.0,274224.0,143033.0,336.0
42,1987 to 1988,Non Observed,14.0,14.0,0.0,72.0,17.0
43,1987 to 1988,Other Non Forest Natural Formation,143.0,143.0,0.0,2782.0,1306.0
44,1987 to 1988,Other Non Vegetated Area,4589.0,0.0,4589.0,9640.0,5306.0
45,1987 to 1988,Pasture,224788.0,224788.0,0.0,268353.0,7389.0
46,1987 to 1988,"River, Lake and Ocean",2386.0,2386.0,0.0,1080.0,86.0
47,1987 to 1988,Rocky outcrop,121.0,121.0,0.0,999.0,264.0
48,1987 to 1988,Salt flat,43.0,43.0,0.0,34.0,9.0
49,1987 to 1988,Urban Infrastructure,27059.0,27059.0,0.0,31.0,12.0
50,1987 to 1988,Wetland,9946.0,9946.0,0.0,3887.0,288.0
51,1988 to 1989,Agriculture,63089.0,63089.0,0.0,88504.0,21037.0
52,1988 to 1989,Aquaculture,41.0,41.0,0.0,2.0,1.0
53,1988 to 1989,Beach and Dune,28.0,0.0,28.0,457.0,172.0
54,1988 to 1989,Forest Plantation,10310.0,10310.0,0.0,17411.0,121.0
55,1988 to 1989,Grassland,7954.0,0.0,7954.0,5221.0,63.0
56,1988 to 1989,Mining,8.0,8.0,0.0,11.0,5.0
57,1988 to 1989,Mosaic of Agriculture and Pasture,6133.0,0.0,6133.0,509823.0,148569.0
58,1988 to 1989,Natural Forest,182450.0,0.0,182450.0,156817.0,1341.0
59,1988 to 1989,Non Observed,8.0,8.0,0.0,97.0,5.0
60,1988 to 1989,Other Non Forest Natural Formation,2502.0,2502.0,0.0,2587.0,739.0
