,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,5479.0,5479.0,0.0,11307.0,1828.0
1,1985 to 1986,Aquaculture,0.0,0.0,0.0,0.0,0.0
2,1985 to 1986,Beach and Dune,1822.0,0.0,1822.0,339.0,54.0
3,1985 to 1986,Forest Plantation,88.0,88.0,0.0,54.0,198.0
4,1985 to 1986,Grassland,7967.0,0.0,7967.0,9440.0,165.0
5,1985 to 1986,Mining,0.0,0.0,0.0,0.0,0.0
6,1985 to 1986,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
7,1985 to 1986,Natural Forest,2283.0,0.0,2283.0,5674.0,2557.0
8,1985 to 1986,Non Observed,1.0,1.0,0.0,13.0,6.0
9,1985 to 1986,Other Non Vegetated Area,1004.0,0.0,1004.0,895.0,1861.0
10,1985 to 1986,Pasture,0.0,0.0,0.0,0.0,0.0
11,1985 to 1986,"River, Lake and Ocean",4642.0,4642.0,0.0,1503.0,1.0
12,1985 to 1986,Rocky outcrop,28.0,0.0,28.0,2.0,0.0
13,1985 to 1986,Urban Infrastructure,2679.0,2679.0,0.0,1.0,-0.0
14,1985 to 1986,Wetland,216.0,216.0,0.0,276.0,41.0
15,1986 to 1987,Agriculture,10923.0,0.0,10923.0,160254.0,4646.0
16,1986 to 1987,Aquaculture,0.0,0.0,0.0,0.0,0.0
17,1986 to 1987,Beach and Dune,124.0,0.0,124.0,106.0,39.0
18,1986 to 1987,Forest Plantation,354.0,354.0,0.0,17.0,0.0
19,1986 to 1987,Grassland,8589.0,8589.0,0.0,154569.0,8577.0
20,1986 to 1987,Mining,1.0,1.0,0.0,0.0,-0.0
21,1986 to 1987,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,-0.0
22,1986 to 1987,Natural Forest,8437.0,8437.0,0.0,24977.0,1911.0
23,1986 to 1987,Non Observed,1.0,0.0,1.0,7.0,3.0
24,1986 to 1987,Other Non Vegetated Area,2604.0,0.0,2604.0,2490.0,2911.0
25,1986 to 1987,Pasture,0.0,0.0,0.0,0.0,0.0
26,1986 to 1987,"River, Lake and Ocean",5607.0,0.0,5607.0,3376.0,187.0
27,1986 to 1987,Rocky outcrop,127.0,127.0,0.0,11.0,1.0
28,1986 to 1987,Urban Infrastructure,1248.0,1248.0,0.0,0.0,0.0
29,1986 to 1987,Wetland,504.0,504.0,0.0,1236.0,375.0
30,1987 to 1988,Agriculture,104776.0,104776.0,0.0,165735.0,825.0
31,1987 to 1988,Aquaculture,0.0,0.0,0.0,0.0,0.0
32,1987 to 1988,Beach and Dune,108.0,108.0,0.0,116.0,-0.0
33,1987 to 1988,Forest Plantation,2568.0,2568.0,0.0,54.0,0.0
34,1987 to 1988,Grassland,58212.0,0.0,58212.0,174525.0,24670.0
35,1987 to 1988,Mining,1.0,1.0,0.0,0.0,0.0
36,1987 to 1988,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
37,1987 to 1988,Natural Forest,30379.0,0.0,30379.0,23598.0,378.0
38,1987 to 1988,Non Observed,0.0,0.0,0.0,6.0,5.0
39,1987 to 1988,Other Non Vegetated Area,1426.0,1426.0,0.0,3801.0,844.0
40,1987 to 1988,Pasture,0.0,0.0,0.0,0.0,0.0
41,1987 to 1988,"River, Lake and Ocean",12488.0,0.0,12488.0,2145.0,3.0
42,1987 to 1988,Rocky outcrop,43.0,43.0,0.0,51.0,10.0
43,1987 to 1988,Urban Infrastructure,983.0,983.0,0.0,1.0,1.0
44,1987 to 1988,Wetland,8828.0,0.0,8828.0,563.0,530.0
45,1988 to 1989,Agriculture,35713.0,35713.0,0.0,166266.0,3624.0
46,1988 to 1989,Aquaculture,0.0,0.0,0.0,0.0,0.0
47,1988 to 1989,Beach and Dune,219.0,219.0,0.0,349.0,0.0
48,1988 to 1989,Forest Plantation,173.0,173.0,0.0,630.0,23.0
49,1988 to 1989,Grassland,59764.0,0.0,59764.0,160816.0,419.0
50,1988 to 1989,Mining,33.0,0.0,33.0,1.0,0.0
51,1988 to 1989,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
52,1988 to 1989,Natural Forest,15388.0,15388.0,0.0,21663.0,5244.0
