,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
0,1985 to 1986,Agriculture,126.0,126.0,0.0,0.0,-0.0
1,1985 to 1986,Forest Plantation,0.0,0.0,0.0,0.0,0.0
2,1985 to 1986,Grassland,1035902.0,1035902.0,0.0,308883.0,970.0
3,1985 to 1986,Mining,1.0,0.0,1.0,0.0,0.0
4,1985 to 1986,Mosaic of Agriculture and Pasture,195097.0,0.0,195097.0,0.0,-0.0
5,1985 to 1986,Natural Forest,23207.0,0.0,23207.0,10158.0,430.0
6,1985 to 1986,Non Observed,40.0,40.0,0.0,31.0,53.0
7,1985 to 1986,Other Non Vegetated Area,103.0,0.0,103.0,0.0,1.0
8,1985 to 1986,Pasture,196804.0,196804.0,0.0,8.0,16.0
9,1985 to 1986,"River, Lake and Ocean",270.0,0.0,270.0,93.0,8.0
10,1985 to 1986,Urban Infrastructure,4.0,4.0,0.0,0.0,0.0
11,1985 to 1986,Wetland,1014198.0,0.0,1014198.0,299192.0,149.0
12,1986 to 1987,Agriculture,80.0,80.0,0.0,2.0,133.0
13,1986 to 1987,Forest Plantation,0.0,0.0,0.0,0.0,0.0
14,1986 to 1987,Grassland,699879.0,0.0,699879.0,560176.0,45.0
15,1986 to 1987,Mining,3.0,3.0,0.0,0.0,0.0
16,1986 to 1987,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
17,1986 to 1987,Natural Forest,7700.0,0.0,7700.0,11422.0,11354.0
18,1986 to 1987,Non Observed,135.0,0.0,135.0,12.0,2.0
19,1986 to 1987,Other Non Vegetated Area,1.0,1.0,0.0,0.0,4.0
20,1986 to 1987,Pasture,34943.0,34943.0,0.0,12969.0,112.0
21,1986 to 1987,"River, Lake and Ocean",400.0,400.0,0.0,1230.0,16.0
22,1986 to 1987,Urban Infrastructure,82.0,82.0,0.0,0.0,0.0
23,1986 to 1987,Wetland,672206.0,672206.0,0.0,543879.0,1066.0
24,1987 to 1988,Agriculture,58.0,0.0,58.0,3.0,158.0
25,1987 to 1988,Forest Plantation,1.0,1.0,0.0,0.0,0.0
26,1987 to 1988,Grassland,442284.0,0.0,442284.0,423083.0,-0.0
27,1987 to 1988,Mining,2.0,2.0,0.0,1.0,0.0
28,1987 to 1988,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
29,1987 to 1988,Natural Forest,49727.0,49727.0,0.0,18945.0,23280.0
30,1987 to 1988,Non Observed,20.0,20.0,0.0,17.0,8.0
31,1987 to 1988,Other Non Vegetated Area,0.0,0.0,0.0,0.0,4.0
32,1987 to 1988,Pasture,31505.0,31505.0,0.0,12631.0,278.0
33,1987 to 1988,"River, Lake and Ocean",2593.0,2593.0,0.0,951.0,44.0
34,1987 to 1988,Urban Infrastructure,92.0,92.0,0.0,0.0,0.0
35,1987 to 1988,Wetland,358401.0,358401.0,0.0,399232.0,1546.0
36,1988 to 1989,Agriculture,11.0,11.0,0.0,62.0,100.0
37,1988 to 1989,Forest Plantation,0.0,0.0,0.0,0.0,0.0
38,1988 to 1989,Grassland,8837.0,8837.0,0.0,569055.0,76996.0
39,1988 to 1989,Mining,2.0,2.0,0.0,0.0,0.0
40,1988 to 1989,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
41,1988 to 1989,Natural Forest,107171.0,0.0,107171.0,21411.0,-0.0
42,1988 to 1989,Non Observed,129.0,129.0,0.0,17.0,11.0
43,1988 to 1989,Other Non Vegetated Area,5.0,0.0,5.0,0.0,0.0
44,1988 to 1989,Pasture,21175.0,21175.0,0.0,11797.0,208.0
45,1988 to 1989,"River, Lake and Ocean",818.0,0.0,818.0,1538.0,26.0
46,1988 to 1989,Urban Infrastructure,87.0,87.0,0.0,0.0,0.0
47,1988 to 1989,Wetland,77754.0,77754.0,0.0,546385.0,1.0
48,1989 to 1990,Agriculture,44.0,44.0,0.0,89.0,33.0
49,1989 to 1990,Forest Plantation,0.0,0.0,0.0,0.0,0.0
50,1989 to 1990,Grassland,819396.0,819396.0,0.0,378649.0,11083.0
51,1989 to 1990,Mining,1.0,1.0,0.0,1.0,0.0
52,1989 to 1990,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
53,1989 to 1990,Natural Forest,37923.0,0.0,37923.0,16391.0,1285.0
54,1989 to 1990,Non Observed,162.0,0.0,162.0,6.0,11.0
55,1989 to 1990,Other Non Vegetated Area,2.0,0.0,2.0,0.0,0.0
56,1989 to 1990,Pasture,36282.0,36282.0,0.0,13411.0,53.0
57,1989 to 1990,"River, Lake and Ocean",1319.0,0.0,1319.0,703.0,32.0
58,1989 to 1990,Urban Infrastructure,38.0,38.0,0.0,0.0,0.0
59,1989 to 1990,Wetland,816356.0,0.0,816356.0,360602.0,1257.0
60,1990 to 1991,Agriculture,186.0,186.0,0.0,97.0,0.0
61,1990 to 1991,Forest Plantation,0.0,0.0,0.0,0.0,0.0
62,1990 to 1991,Grassland,597832.0,0.0,597832.0,500341.0,3.0
63,1990 to 1991,Mining,2.0,2.0,0.0,0.0,0.0
64,1990 to 1991,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
65,1990 to 1991,Natural Forest,18412.0,0.0,18412.0,28026.0,4857.0
66,1990 to 1991,Non Observed,13.0,0.0,13.0,18.0,0.0
67,1990 to 1991,Other Non Vegetated Area,0.0,0.0,0.0,0.0,0.0
68,1990 to 1991,Pasture,30783.0,30783.0,0.0,9249.0,128.0
69,1990 to 1991,"River, Lake and Ocean",110.0,0.0,110.0,971.0,56.0
70,1990 to 1991,Urban Infrastructure,30.0,30.0,0.0,0.0,0.0
71,1990 to 1991,Wetland,585366.0,585366.0,0.0,472656.0,0.0
72,1991 to 1992,Agriculture,71.0,71.0,0.0,133.0,106.0
73,1991 to 1992,Forest Plantation,0.0,0.0,0.0,0.0,0.0
74,1991 to 1992,Grassland,343856.0,343856.0,0.0,532975.0,5443.0
75,1991 to 1992,Mining,0.0,0.0,0.0,0.0,0.0
76,1991 to 1992,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
77,1991 to 1992,Natural Forest,24467.0,0.0,24467.0,64961.0,2.0
78,1991 to 1992,Non Observed,7.0,7.0,0.0,21.0,1.0
79,1991 to 1992,Other Non Vegetated Area,0.0,0.0,0.0,0.0,0.0
80,1991 to 1992,Pasture,28632.0,28632.0,0.0,22758.0,6.0
81,1991 to 1992,"River, Lake and Ocean",315.0,0.0,315.0,801.0,179.0
82,1991 to 1992,Urban Infrastructure,0.0,0.0,0.0,0.0,0.0
83,1991 to 1992,Wetland,347784.0,0.0,347784.0,479409.0,579.0
84,1992 to 1993,Agriculture,115.0,115.0,0.0,193.0,225.0
85,1992 to 1993,Forest Plantation,0.0,0.0,0.0,0.0,0.0
86,1992 to 1993,Grassland,187011.0,187011.0,0.0,589838.0,17453.0
87,1992 to 1993,Mining,2.0,0.0,2.0,0.0,0.0
88,1992 to 1993,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
89,1992 to 1993,Natural Forest,52379.0,0.0,52379.0,10188.0,20.0
90,1992 to 1993,Non Observed,5.0,0.0,5.0,15.0,8.0
91,1992 to 1993,Other Non Vegetated Area,1.0,1.0,0.0,0.0,-0.0
92,1992 to 1993,Pasture,38110.0,38110.0,0.0,8926.0,79.0
93,1992 to 1993,"River, Lake and Ocean",269.0,269.0,0.0,703.0,28.0
94,1992 to 1993,Urban Infrastructure,106.0,106.0,0.0,0.0,-0.0
95,1992 to 1993,Wetland,173227.0,0.0,173227.0,576671.0,0.0
96,1993 to 1994,Agriculture,260.0,0.0,260.0,394.0,200.0
97,1993 to 1994,Forest Plantation,0.0,0.0,0.0,0.0,0.0
98,1993 to 1994,Grassland,468441.0,468441.0,0.0,528172.0,8835.0
99,1993 to 1994,Mining,0.0,0.0,0.0,1.0,0.0
100,1993 to 1994,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
101,1993 to 1994,Natural Forest,50362.0,0.0,50362.0,6798.0,31.0
102,1993 to 1994,Non Observed,1.0,0.0,1.0,11.0,22.0
103,1993 to 1994,Other Non Vegetated Area,42.0,42.0,0.0,0.0,1.0
104,1993 to 1994,Pasture,35425.0,35425.0,0.0,13921.0,147.0
105,1993 to 1994,"River, Lake and Ocean",2678.0,0.0,2678.0,851.0,59.0
106,1993 to 1994,Urban Infrastructure,14.0,14.0,0.0,0.0,0.0
107,1993 to 1994,Wetland,450621.0,0.0,450621.0,512682.0,1888.0
108,1994 to 1995,Agriculture,360.0,360.0,0.0,297.0,28.0
109,1994 to 1995,Forest Plantation,6.0,6.0,0.0,0.0,0.0
110,1994 to 1995,Grassland,1191343.0,0.0,1191343.0,427555.0,8071.0
111,1994 to 1995,Mining,1.0,0.0,1.0,0.0,-0.0
112,1994 to 1995,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
113,1994 to 1995,Natural Forest,37407.0,0.0,37407.0,15375.0,0.0
114,1994 to 1995,Non Observed,172.0,172.0,0.0,14.0,19.0
115,1994 to 1995,Other Non Vegetated Area,25.0,0.0,25.0,0.0,0.0
116,1994 to 1995,Pasture,37875.0,37875.0,0.0,13163.0,4736.0
117,1994 to 1995,"River, Lake and Ocean",3347.0,0.0,3347.0,1829.0,114.0
118,1994 to 1995,Urban Infrastructure,32.0,32.0,0.0,0.0,-0.0
119,1994 to 1995,Wetland,1193677.0,1193677.0,0.0,405995.0,8.0
120,1995 to 1996,Agriculture,608.0,608.0,0.0,712.0,9.0
121,1995 to 1996,Forest Plantation,0.0,0.0,0.0,0.0,0.0
122,1995 to 1996,Grassland,806454.0,806454.0,0.0,418934.0,17958.0
123,1995 to 1996,Mining,0.0,0.0,0.0,1.0,0.0
124,1995 to 1996,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
125,1995 to 1996,Natural Forest,45171.0,0.0,45171.0,8640.0,336.0
126,1995 to 1996,Non Observed,136.0,0.0,136.0,29.0,24.0
127,1995 to 1996,Other Non Vegetated Area,5.0,0.0,5.0,0.0,0.0
128,1995 to 1996,Pasture,40326.0,40326.0,0.0,8277.0,273.0
129,1995 to 1996,"River, Lake and Ocean",5618.0,0.0,5618.0,788.0,61.0
130,1995 to 1996,Urban Infrastructure,54.0,54.0,0.0,0.0,0.0
131,1995 to 1996,Wetland,796512.0,0.0,796512.0,405660.0,5528.0
132,1996 to 1997,Agriculture,492.0,492.0,0.0,418.0,130.0
133,1996 to 1997,Forest Plantation,1.0,1.0,0.0,0.0,0.0
134,1996 to 1997,Grassland,714651.0,0.0,714651.0,427540.0,1921.0
135,1996 to 1997,Mining,0.0,0.0,0.0,1.0,1.0
136,1996 to 1997,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
137,1996 to 1997,Natural Forest,23970.0,0.0,23970.0,19553.0,0.0
138,1996 to 1997,Non Observed,10.0,0.0,10.0,10.0,28.0
139,1996 to 1997,Other Non Vegetated Area,1.0,1.0,0.0,0.0,-0.0
140,1996 to 1997,Pasture,36537.0,36537.0,0.0,7542.0,5.0
141,1996 to 1997,"River, Lake and Ocean",327.0,0.0,327.0,702.0,151.0
142,1996 to 1997,Urban Infrastructure,8.0,8.0,0.0,0.0,0.0
143,1996 to 1997,Wetland,701918.0,701918.0,0.0,404982.0,437.0
144,1997 to 1998,Agriculture,13.0,13.0,0.0,872.0,141.0
145,1997 to 1998,Forest Plantation,0.0,0.0,0.0,0.0,0.0
146,1997 to 1998,Grassland,942272.0,942272.0,0.0,382759.0,16223.0
147,1997 to 1998,Mining,0.0,0.0,0.0,1.0,0.0
