,Year,Quantity,Exchange,Shift
0,1985 to 1986,78365,224670.0,46254.0
1,1986 to 1987,594447,853236.0,290944.0
2,1987 to 1988,497758,1035521.0,270615.0
3,1988 to 1989,177217,1256476.0,211683.0
4,1989 to 1990,299536,1212199.0,217989.0
5,1990 to 1991,242768,1191742.0,255212.0
6,1991 to 1992,320094,1220944.0,162857.0
7,1992 to 1993,508147,1079862.0,191960.0
8,1993 to 1994,232301,1273974.0,179649.0
9,1994 to 1995,304315,1404193.0,92971.0
10,1995 to 1996,112227,1253672.0,79086.0
11,1996 to 1997,183512,1232704.0,124824.0
12,1997 to 1998,270685,1120701.0,172427.0
13,1998 to 1999,318043,1115857.0,131424.0
14,1999 to 2000,291497,1291704.0,63814.0
15,2000 to 2001,193650,1091495.0,65979.0
16,2001 to 2002,311461,982512.0,55019.0
17,2002 to 2003,233480,1013951.0,31853.0
18,2003 to 2004,245101,1036598.0,68977.0
19,2004 to 2005,127351,928460.0,176889.0
20,2005 to 2006,242124,896330.0,137890.0
21,2006 to 2007,168826,949200.0,107838.0
22,2007 to 2008,187846,1024679.0,57210.0
23,2008 to 2009,102275,1059882.0,34586.0
24,2009 to 2010,253034,1000820.0,62652.0
25,2010 to 2011,105729,1212060.0,81061.0
26,2011 to 2012,427101,1006734.0,122608.0
27,2012 to 2013,379266,815109.0,150580.0
28,2013 to 2014,268643,717864.0,217812.0
29,2014 to 2015,218485,695811.0,122940.0
30,2015 to 2016,45830,626137.0,36904.0
31,2016 to 2017,154322,753412.0,70794.0
32,2017 to 2018,341974,762446.0,84054.0
33,2018 to 2019,448460,305558.0,61922.0
