,Year,Quantity,Exchange,Shift
0,1985 to 1986,360341,764119.0,619328.0
1,1986 to 1987,727757,1437461.0,931336.0
2,1987 to 1988,1036079,1220189.0,717918.0
3,1988 to 1989,1185295,1072161.0,875729.0
4,1989 to 1990,843206,1218917.0,765538.0
5,1990 to 1991,970490,1031047.0,624947.0
6,1991 to 1992,1150046,1054054.0,670339.0
7,1992 to 1993,801971,1241161.0,738961.0
8,1993 to 1994,1010495,1234180.0,743869.0
9,1994 to 1995,1096104,1202184.0,725098.0
10,1995 to 1996,756517,1201677.0,803783.0
11,1996 to 1997,816561,960270.0,752042.0
12,1997 to 1998,740229,1137589.0,720402.0
13,1998 to 1999,697928,1196458.0,763588.0
14,1999 to 2000,903707,1052200.0,826997.0
15,2000 to 2001,765142,1228805.0,876415.0
16,2001 to 2002,926217,833670.0,954481.0
17,2002 to 2003,1120106,857872.0,916490.0
18,2003 to 2004,1259963,860030.0,1056508.0
19,2004 to 2005,998928,933905.0,1000147.0
20,2005 to 2006,533189,1040670.0,873136.0
21,2006 to 2007,408951,1002451.0,818144.0
22,2007 to 2008,610019,823570.0,771761.0
23,2008 to 2009,576156,1112674.0,772981.0
24,2009 to 2010,419765,1192496.0,860937.0
25,2010 to 2011,827817,769841.0,706392.0
26,2011 to 2012,806949,1582310.0,1192954.0
27,2012 to 2013,860273,1016410.0,1029932.0
28,2013 to 2014,1964853,1175228.0,1008988.0
29,2014 to 2015,449001,678352.0,670797.0
30,2015 to 2016,553466,703743.0,644071.0
31,2016 to 2017,598507,548022.0,654414.0
32,2017 to 2018,792632,544394.0,613303.0
33,2018 to 2019,707430,267208.0,335962.0
