,Year,Quantity,Exchange,Shift
0,1985 to 1986,72457,110454.0,29645.0
1,1986 to 1987,493719,728891.0,211326.0
2,1987 to 1988,285643,829720.0,201874.0
3,1988 to 1989,200015,1173056.0,182038.0
4,1989 to 1990,139707,1214166.0,122758.0
5,1990 to 1991,298343,1037956.0,131147.0
6,1991 to 1992,119512,1137827.0,221706.0
7,1992 to 1993,176995,1153468.0,144151.0
8,1993 to 1994,163682,957030.0,217922.0
9,1994 to 1995,198953,981483.0,237099.0
10,1995 to 1996,232966,861149.0,270953.0
11,1996 to 1997,230474,868125.0,237349.0
12,1997 to 1998,214410,965147.0,208612.0
13,1998 to 1999,273239,1183722.0,347491.0
14,1999 to 2000,282619,1036709.0,183376.0
15,2000 to 2001,277374,951499.0,348686.0
16,2001 to 2002,337092,734737.0,283639.0
17,2002 to 2003,804002,755097.0,289314.0
18,2003 to 2004,527218,696316.0,327667.0
19,2004 to 2005,450972,681797.0,357102.0
20,2005 to 2006,447049,883505.0,401851.0
21,2006 to 2007,662570,700869.0,467739.0
22,2007 to 2008,715337,796411.0,404551.0
23,2008 to 2009,542734,815842.0,256663.0
24,2009 to 2010,302610,827820.0,276067.0
25,2010 to 2011,294152,728054.0,296483.0
26,2011 to 2012,481928,871678.0,389343.0
27,2012 to 2013,556608,868706.0,314585.0
28,2013 to 2014,531267,681386.0,206903.0
29,2014 to 2015,398891,634253.0,174583.0
30,2015 to 2016,223587,1126116.0,120666.0
31,2016 to 2017,412674,610430.0,174696.0
32,2017 to 2018,214784,613191.0,221857.0
33,2018 to 2019,348950,129892.0,110711.0
