,Year,Quantity,Exchange,Shift
0,1985 to 1986,13104,29503.0,21462.0
1,1986 to 1987,19259,347044.0,192171.0
2,1987 to 1988,109905,370596.0,212564.0
3,1988 to 1989,61081,357348.0,188485.0
4,1989 to 1990,89237,366146.0,245067.0
5,1990 to 1991,61344,339241.0,185154.0
6,1991 to 1992,57880,373066.0,217207.0
7,1992 to 1993,22451,398695.0,207404.0
8,1993 to 1994,41884,369150.0,191164.0
9,1994 to 1995,46810,352077.0,193525.0
10,1995 to 1996,153644,295431.0,158205.0
11,1996 to 1997,69209,340505.0,182091.0
12,1997 to 1998,95488,405747.0,218115.0
13,1998 to 1999,119857,294346.0,154283.0
14,1999 to 2000,61816,342962.0,182364.0
15,2000 to 2001,77971,498733.0,261690.0
16,2001 to 2002,97969,262917.0,137231.0
17,2002 to 2003,157514,332142.0,172394.0
18,2003 to 2004,219369,282570.0,167344.0
19,2004 to 2005,73377,262377.0,136870.0
20,2005 to 2006,78016,360680.0,203955.0
21,2006 to 2007,66999,206446.0,146696.0
22,2007 to 2008,192154,266098.0,154303.0
23,2008 to 2009,55361,272543.0,150395.0
24,2009 to 2010,199257,217687.0,132707.0
25,2010 to 2011,120251,290571.0,163766.0
26,2011 to 2012,111314,298828.0,169051.0
27,2012 to 2013,194882,254973.0,139823.0
28,2013 to 2014,114343,227764.0,122407.0
29,2014 to 2015,107555,183340.0,98626.0
30,2015 to 2016,29497,351993.0,182887.0
31,2016 to 2017,179769,148267.0,78983.0
32,2017 to 2018,53784,159642.0,86824.0
33,2018 to 2019,325087,54606.0,42354.0
