,Year,Quantity,Exchange,Shift
0,1985 to 1986,1232876,618365.0,1626.0
1,1986 to 1987,707713,1129690.0,12732.0
2,1987 to 1988,442341,854862.0,25319.0
3,1988 to 1989,107994,1150266.0,77343.0
4,1989 to 1990,855760,769852.0,13754.0
5,1990 to 1991,616367,1011358.0,5045.0
6,1991 to 1992,372566,1101059.0,6316.0
7,1992 to 1993,225612,1186534.0,17813.0
8,1993 to 1994,503922,1062830.0,11183.0
9,1994 to 1995,1232123,864229.0,12975.0
10,1995 to 1996,847441,843042.0,24190.0
11,1996 to 1997,738957,860748.0,2675.0
12,1997 to 1998,986520,776174.0,22420.0
13,1998 to 1999,72489,1221934.0,30685.0
14,1999 to 2000,199582,870142.0,20791.0
15,2000 to 2001,648247,765511.0,32081.0
16,2001 to 2002,603754,765569.0,8648.0
17,2002 to 2003,79860,1508234.0,8152.0
18,2003 to 2004,282262,1109739.0,20558.0
19,2004 to 2005,134234,934583.0,15075.0
20,2005 to 2006,956681,615629.0,4841.0
21,2006 to 2007,319985,902035.0,16818.0
22,2007 to 2008,208561,980706.0,15554.0
23,2008 to 2009,797261,809660.0,14159.0
24,2009 to 2010,363994,1002036.0,1904.0
25,2010 to 2011,674157,1337584.0,6122.0
26,2011 to 2012,1201312,918484.0,27256.0
27,2012 to 2013,367003,1019479.0,6082.0
28,2013 to 2014,901399,684820.0,9964.0
29,2014 to 2015,880329,677024.0,11811.0
30,2015 to 2016,140802,1120960.0,5426.0
31,2016 to 2017,128360,1176390.0,18678.0
32,2017 to 2018,904304,651606.0,3542.0
33,2018 to 2019,1014646,551993.0,7283.0
