category1,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,88.5,8572.666666666666,0.8333333333333334,0.0,8146.666666666667,2.5,0.16666666666666666,91979.16666666667,268.8333333333333,0.16666666666666666,0.5,0.0
Beach and Dune,,0.0,0.0,0.0,0.0,0.0,5.166666666666667,0.0,0.0,3.6666666666666665,7.333333333333333,0.6666666666666666,0.0
Forest Plantation,,,755.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
Grassland,,,,60.666666666666664,0.0,0.0,28.166666666666668,23.5,36.666666666666664,56226.333333333336,916.1666666666666,0.5,0.0
Mining,,,,,0.0,0.0,0.0,0.0,0.0,19.833333333333332,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,,94.33333333333333,66.16666666666667,79.5,155667.0,138.66666666666666,1.3333333333333333,0.0
Non Observed,,,,,,,,0.0,0.0,58.333333333333336,2.6666666666666665,0.0,0.0
Other Non Vegetated Area,,,,,,,,,130.83333333333334,18.833333333333332,0.0,0.0,0.0
Pasture,,,,,,,,,,27193.0,4.166666666666667,1.0,0.0
"River, Lake and Ocean",,,,,,,,,,,77.16666666666667,0.16666666666666666,0.0
Salt flat,,,,,,,,,,,,1.6666666666666667,0.0
Urban Infrastructure,,,,,,,,,,,,,0.0
