category1,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,6566.8,138754.6,1.2,4.2,73721.6,0.0,0.0,9783.0,900104.6,294.2,0.0,0.0,0.6,0.0
Beach and Dune,,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0
Forest Plantation,,,1201.6,0.0,0.0,0.0,0.0,0.0,0.0,172.4,0.2,0.0,0.0,0.0,0.0
Grassland,,,,11.2,0.0,0.0,0.0,0.0,0.0,20207.0,2785.6,0.0,0.0,0.6,0.0
Mining,,,,,0.0,0.0,0.0,0.0,0.0,10.8,28.4,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,,2.4,0.0,0.0,12261.6,9382.2,0.0,0.0,1.0,0.0
Non Observed,,,,,,,,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0
Other Non Forest Natural Formation,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,27262.2,2380.6,0.0,0.0,1.0,0.0
Pasture,,,,,,,,,,,6971.6,0.0,0.0,0.8,0.0
"River, Lake and Ocean",,,,,,,,,,,,0.0,0.0,0.0,0.0
Rocky outcrop,,,,,,,,,,,,,0.0,0.0,0.0
Salt flat,,,,,,,,,,,,,,0.0,0.0
Urban Infrastructure,,,,,,,,,,,,,,,0.0
