category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,4.0,2435.5,1347.5,0.0,291226.5,14714.0,0.0,23.0,369.0,245417.0,180.5,0.0,0.0,0.5,162.5
Aquaculture,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,0.5,0.5,44.5,276.0,384.5,29.5,0.0,0.0,1.0,0.0
Forest Plantation,,,,58.0,0.0,0.0,6205.0,0.0,0.0,7.0,31.0,8.5,3.0,0.0,0.0,0.0
Grassland,,,,,0.0,0.0,1819.0,0.0,0.0,0.0,17.0,1.5,0.0,0.0,0.0,0.0
Mining,,,,,,10.5,4.0,0.0,0.0,0.0,2.5,5.0,4.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,375512.5,35.5,35.5,2364.5,8801.0,295.0,295.0,107.0,4.0,4.0
Natural Forest,,,,,,,,14.0,14.0,1140.5,1140.5,647.5,634.5,14.5,1.0,1.0
Non Observed,,,,,,,,,1.0,1.0,4.5,4.5,0.0,0.0,2.0,0.0
Other Non Forest Natural Formation,,,,,,,,,,633.5,633.5,29.5,4.5,9.5,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,7973.5,645.5,183.5,4.5,1.5,1.5
Pasture,,,,,,,,,,,,69.5,69.5,5.5,2.5,2.5
"River, Lake and Ocean",,,,,,,,,,,,,3.0,3.0,1.5,1.5
Rocky outcrop,,,,,,,,,,,,,,0.0,0.0,0.0
Salt flat,,,,,,,,,,,,,,,8.0,0.0
Urban Infrastructure,,,,,,,,,,,,,,,,0.0
