category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,0.0,13.5,313.0,587389.5,0.0,0.5,38731.5,0.0,3653.5,0.0,6766.5,81.5,0.0,792.5
Aquaculture,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0
Forest Plantation,,,,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
Mining,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Non Observed,,,,,,,,,7.5,0.0,0.0,0.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,0.0,0.0,44.5,0.0,0.0
Pasture,,,,,,,,,,,0.0,0.0,0.0,0.0
"River, Lake and Ocean",,,,,,,,,,,,0.0,0.0,0.0
Rocky outcrop,,,,,,,,,,,,,0.0,0.0
Urban Infrastructure,,,,,,,,,,,,,,0.0
