year,category1,category2,category1_index,category2_index,exchange
1985 to 1986,Agriculture,Aquaculture,0,1,0.0
1985 to 1986,Agriculture,Beach and Dune,0,2,0.0
1985 to 1986,Agriculture,Forest Plantation,0,3,24.0
1985 to 1986,Agriculture,Grassland,0,4,6735.0
1985 to 1986,Agriculture,Mining,0,5,0.0
1985 to 1986,Agriculture,Mosaic of Agriculture and Pasture,0,6,0.0
1985 to 1986,Agriculture,Natural Forest,0,7,3221.0
1985 to 1986,Agriculture,Non Observed,0,8,0.0
1985 to 1986,Agriculture,Other Non Vegetated Area,0,9,277.0
1985 to 1986,Agriculture,Pasture,0,10,0.0
1985 to 1986,Agriculture,"River, Lake and Ocean",0,11,947.0
1985 to 1986,Agriculture,Rocky outcrop,0,12,1.0
1985 to 1986,Agriculture,Urban Infrastructure,0,13,0.0
1985 to 1986,Agriculture,Wetland,0,14,103.0
1985 to 1986,Aquaculture,Beach and Dune,1,2,0.0
1985 to 1986,Aquaculture,Forest Plantation,1,3,0.0
1985 to 1986,Aquaculture,Grassland,1,4,0.0
1985 to 1986,Aquaculture,Mining,1,5,0.0
1985 to 1986,Aquaculture,Mosaic of Agriculture and Pasture,1,6,0.0
1985 to 1986,Aquaculture,Natural Forest,1,7,0.0
1985 to 1986,Aquaculture,Non Observed,1,8,0.0
1985 to 1986,Aquaculture,Other Non Vegetated Area,1,9,0.0
1985 to 1986,Aquaculture,Pasture,1,10,0.0
1985 to 1986,Aquaculture,"River, Lake and Ocean",1,11,0.0
1985 to 1986,Aquaculture,Rocky outcrop,1,12,0.0
1985 to 1986,Aquaculture,Urban Infrastructure,1,13,0.0
1985 to 1986,Aquaculture,Wetland,1,14,0.0
1985 to 1986,Beach and Dune,Forest Plantation,2,3,0.0
1985 to 1986,Beach and Dune,Grassland,2,4,0.0
1985 to 1986,Beach and Dune,Mining,2,5,0.0
1985 to 1986,Beach and Dune,Mosaic of Agriculture and Pasture,2,6,0.0
1985 to 1986,Beach and Dune,Natural Forest,2,7,0.0
1985 to 1986,Beach and Dune,Non Observed,2,8,0.0
1985 to 1986,Beach and Dune,Other Non Vegetated Area,2,9,7.0
1985 to 1986,Beach and Dune,Pasture,2,10,0.0
1985 to 1986,Beach and Dune,"River, Lake and Ocean",2,11,0.0
1985 to 1986,Beach and Dune,Rocky outcrop,2,12,0.0
1985 to 1986,Beach and Dune,Urban Infrastructure,2,13,0.0
1985 to 1986,Beach and Dune,Wetland,2,14,0.0
1985 to 1986,Forest Plantation,Grassland,3,4,17.0
1985 to 1986,Forest Plantation,Mining,3,5,0.0
1985 to 1986,Forest Plantation,Mosaic of Agriculture and Pasture,3,6,0.0
1985 to 1986,Forest Plantation,Natural Forest,3,7,0.0
1985 to 1986,Forest Plantation,Non Observed,3,8,0.0
1985 to 1986,Forest Plantation,Other Non Vegetated Area,3,9,0.0
1985 to 1986,Forest Plantation,Pasture,3,10,0.0
1985 to 1986,Forest Plantation,"River, Lake and Ocean",3,11,0.0
1985 to 1986,Forest Plantation,Rocky outcrop,3,12,0.0
1985 to 1986,Forest Plantation,Urban Infrastructure,3,13,0.0
1985 to 1986,Forest Plantation,Wetland,3,14,0.0
1985 to 1986,Grassland,Mining,4,5,0.0
1985 to 1986,Grassland,Mosaic of Agriculture and Pasture,4,6,0.0
1985 to 1986,Grassland,Natural Forest,4,7,0.0
1985 to 1986,Grassland,Non Observed,4,8,0.0
1985 to 1986,Grassland,Other Non Vegetated Area,4,9,0.0
1985 to 1986,Grassland,Pasture,4,10,0.0
1985 to 1986,Grassland,"River, Lake and Ocean",4,11,0.0
1985 to 1986,Grassland,Rocky outcrop,4,12,1.0
1985 to 1986,Grassland,Urban Infrastructure,4,13,0.0
1985 to 1986,Grassland,Wetland,4,14,0.0
1985 to 1986,Mining,Mosaic of Agriculture and Pasture,5,6,0.0
1985 to 1986,Mining,Natural Forest,5,7,0.0
1985 to 1986,Mining,Non Observed,5,8,0.0
1985 to 1986,Mining,Other Non Vegetated Area,5,9,0.0
1985 to 1986,Mining,Pasture,5,10,0.0
1985 to 1986,Mining,"River, Lake and Ocean",5,11,0.0
1985 to 1986,Mining,Rocky outcrop,5,12,0.0
1985 to 1986,Mining,Urban Infrastructure,5,13,0.0
1985 to 1986,Mining,Wetland,5,14,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Natural Forest,6,7,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Non Observed,6,8,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,6,9,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Pasture,6,10,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",6,11,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Rocky outcrop,6,12,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Urban Infrastructure,6,13,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Wetland,6,14,0.0
1985 to 1986,Natural Forest,Non Observed,7,8,0.0
1985 to 1986,Natural Forest,Other Non Vegetated Area,7,9,0.0
1985 to 1986,Natural Forest,Pasture,7,10,0.0
1985 to 1986,Natural Forest,"River, Lake and Ocean",7,11,0.0
1985 to 1986,Natural Forest,Rocky outcrop,7,12,0.0
1985 to 1986,Natural Forest,Urban Infrastructure,7,13,0.0
1985 to 1986,Natural Forest,Wetland,7,14,0.0
1985 to 1986,Non Observed,Other Non Vegetated Area,8,9,4.0
1985 to 1986,Non Observed,Pasture,8,10,0.0
1985 to 1986,Non Observed,"River, Lake and Ocean",8,11,0.0
1985 to 1986,Non Observed,Rocky outcrop,8,12,0.0
1985 to 1986,Non Observed,Urban Infrastructure,8,13,0.0
1985 to 1986,Non Observed,Wetland,8,14,0.0
1985 to 1986,Other Non Vegetated Area,Pasture,9,10,0.0
1985 to 1986,Other Non Vegetated Area,"River, Lake and Ocean",9,11,0.0
1985 to 1986,Other Non Vegetated Area,Rocky outcrop,9,12,0.0
1985 to 1986,Other Non Vegetated Area,Urban Infrastructure,9,13,0.0
1985 to 1986,Other Non Vegetated Area,Wetland,9,14,0.0
1985 to 1986,Pasture,"River, Lake and Ocean",10,11,0.0
1985 to 1986,Pasture,Rocky outcrop,10,12,0.0
1985 to 1986,Pasture,Urban Infrastructure,10,13,0.0
1985 to 1986,Pasture,Wetland,10,14,0.0
1985 to 1986,"River, Lake and Ocean",Rocky outcrop,11,12,0.0
1985 to 1986,"River, Lake and Ocean",Urban Infrastructure,11,13,0.0
1985 to 1986,"River, Lake and Ocean",Wetland,11,14,0.0
1985 to 1986,Rocky outcrop,Urban Infrastructure,12,13,0.0
1985 to 1986,Rocky outcrop,Wetland,12,14,0.0
1985 to 1986,Urban Infrastructure,Wetland,13,14,0.0
1986 to 1987,Agriculture,Aquaculture,0,1,0.0
1986 to 1987,Agriculture,Beach and Dune,0,2,0.0
1986 to 1987,Agriculture,Forest Plantation,0,3,3.0
1986 to 1987,Agriculture,Grassland,0,4,142377.0
1986 to 1987,Agriculture,Mining,0,5,0.0
1986 to 1987,Agriculture,Mosaic of Agriculture and Pasture,0,6,0.0
1986 to 1987,Agriculture,Natural Forest,0,7,14750.0
1986 to 1987,Agriculture,Non Observed,0,8,0.0
1986 to 1987,Agriculture,Other Non Vegetated Area,0,9,754.0
1986 to 1987,Agriculture,Pasture,0,10,0.0
1986 to 1987,Agriculture,"River, Lake and Ocean",0,11,1710.0
1986 to 1987,Agriculture,Rocky outcrop,0,12,3.0
1986 to 1987,Agriculture,Urban Infrastructure,0,13,0.0
1986 to 1987,Agriculture,Wetland,0,14,657.0
1986 to 1987,Aquaculture,Beach and Dune,1,2,0.0
1986 to 1987,Aquaculture,Forest Plantation,1,3,0.0
1986 to 1987,Aquaculture,Grassland,1,4,0.0
1986 to 1987,Aquaculture,Mining,1,5,0.0
1986 to 1987,Aquaculture,Mosaic of Agriculture and Pasture,1,6,0.0
1986 to 1987,Aquaculture,Natural Forest,1,7,0.0
1986 to 1987,Aquaculture,Non Observed,1,8,0.0
1986 to 1987,Aquaculture,Other Non Vegetated Area,1,9,0.0
1986 to 1987,Aquaculture,Pasture,1,10,0.0
1986 to 1987,Aquaculture,"River, Lake and Ocean",1,11,0.0
1986 to 1987,Aquaculture,Rocky outcrop,1,12,0.0
1986 to 1987,Aquaculture,Urban Infrastructure,1,13,0.0
1986 to 1987,Aquaculture,Wetland,1,14,0.0
1986 to 1987,Beach and Dune,Forest Plantation,2,3,0.0
1986 to 1987,Beach and Dune,Grassland,2,4,0.0
1986 to 1987,Beach and Dune,Mining,2,5,0.0
1986 to 1987,Beach and Dune,Mosaic of Agriculture and Pasture,2,6,0.0
1986 to 1987,Beach and Dune,Natural Forest,2,7,0.0
1986 to 1987,Beach and Dune,Non Observed,2,8,0.0
1986 to 1987,Beach and Dune,Other Non Vegetated Area,2,9,3.0
1986 to 1987,Beach and Dune,Pasture,2,10,0.0
1986 to 1987,Beach and Dune,"River, Lake and Ocean",2,11,0.0
1986 to 1987,Beach and Dune,Rocky outcrop,2,12,0.0
1986 to 1987,Beach and Dune,Urban Infrastructure,2,13,0.0
1986 to 1987,Beach and Dune,Wetland,2,14,0.0
