year,category1,category2,category1_index,category2_index,exchange
1985 to 1986,Agriculture,Forest Plantation,0,1,0.0
1985 to 1986,Agriculture,Grassland,0,2,0.0
1985 to 1986,Agriculture,Mining,0,3,0.0
1985 to 1986,Agriculture,Mosaic of Agriculture and Pasture,0,4,0.0
1985 to 1986,Agriculture,Natural Forest,0,5,0.0
1985 to 1986,Agriculture,Non Observed,0,6,0.0
1985 to 1986,Agriculture,Other Non Vegetated Area,0,7,0.0
1985 to 1986,Agriculture,Pasture,0,8,0.0
1985 to 1986,Agriculture,"River, Lake and Ocean",0,9,0.0
1985 to 1986,Agriculture,Urban Infrastructure,0,10,0.0
1985 to 1986,Agriculture,Wetland,0,11,0.0
1985 to 1986,Forest Plantation,Grassland,1,2,0.0
1985 to 1986,Forest Plantation,Mining,1,3,0.0
1985 to 1986,Forest Plantation,Mosaic of Agriculture and Pasture,1,4,0.0
1985 to 1986,Forest Plantation,Natural Forest,1,5,0.0
1985 to 1986,Forest Plantation,Non Observed,1,6,0.0
1985 to 1986,Forest Plantation,Other Non Vegetated Area,1,7,0.0
1985 to 1986,Forest Plantation,Pasture,1,8,0.0
1985 to 1986,Forest Plantation,"River, Lake and Ocean",1,9,0.0
1985 to 1986,Forest Plantation,Urban Infrastructure,1,10,0.0
1985 to 1986,Forest Plantation,Wetland,1,11,0.0
1985 to 1986,Grassland,Mining,2,3,0.0
1985 to 1986,Grassland,Mosaic of Agriculture and Pasture,2,4,0.0
1985 to 1986,Grassland,Natural Forest,2,5,0.0
1985 to 1986,Grassland,Non Observed,2,6,28.0
1985 to 1986,Grassland,Other Non Vegetated Area,2,7,0.0
1985 to 1986,Grassland,Pasture,2,8,0.0
1985 to 1986,Grassland,"River, Lake and Ocean",2,9,7.0
1985 to 1986,Grassland,Urban Infrastructure,2,10,0.0
1985 to 1986,Grassland,Wetland,2,11,0.0
1985 to 1986,Mining,Mosaic of Agriculture and Pasture,3,4,0.0
1985 to 1986,Mining,Natural Forest,3,5,0.0
1985 to 1986,Mining,Non Observed,3,6,0.0
1985 to 1986,Mining,Other Non Vegetated Area,3,7,0.0
1985 to 1986,Mining,Pasture,3,8,0.0
1985 to 1986,Mining,"River, Lake and Ocean",3,9,0.0
1985 to 1986,Mining,Urban Infrastructure,3,10,0.0
1985 to 1986,Mining,Wetland,3,11,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Natural Forest,4,5,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Non Observed,4,6,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,4,7,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Pasture,4,8,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",4,9,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Urban Infrastructure,4,10,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Wetland,4,11,0.0
1985 to 1986,Natural Forest,Non Observed,5,6,1.0
1985 to 1986,Natural Forest,Other Non Vegetated Area,5,7,0.0
1985 to 1986,Natural Forest,Pasture,5,8,0.0
1985 to 1986,Natural Forest,"River, Lake and Ocean",5,9,1.0
