category1,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Urban Infrastructure,Wetland
Agriculture,0.0,82.5,0.0,0.0,1.5,0.25,0.0,766.75,2.25,0.0,2.5
Forest Plantation,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,,,1.0,0.0,0.0,16.75,0.0,0.0,721.25,0.0,0.0
Mining,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,2.0,0.0,0.0,68.25,0.0,0.0
Non Observed,,,,,,,0.0,0.0,1.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,0.25,0.0,0.0,0.0
Pasture,,,,,,,,,75.25,0.0,0.0
"River, Lake and Ocean",,,,,,,,,,0.0,0.0
Urban Infrastructure,,,,,,,,,,,0.0
