,Year,Quantity,Exchange,Shift
0,1985 to 1986,403201.0,3398498.0,2103816.0
1,1986 to 1987,2716500.0,4460526.0,2586458.0
2,1987 to 1988,3383548.0,5179268.0,2837014.0
3,1988 to 1989,2656434.0,6028560.0,3251935.0
4,1989 to 1990,1636845.0,5998954.0,3209719.0
5,1990 to 1991,2117526.0,4985850.0,2764189.0
6,1991 to 1992,2668832.0,5304148.0,3083633.0
7,1992 to 1993,2905477.0,4800250.0,2630032.0
8,1993 to 1994,2489336.0,5499604.0,2946175.0
9,1994 to 1995,2801365.0,5716622.0,3035087.0
10,1995 to 1996,2927958.0,4785916.0,2500836.0
11,1996 to 1997,2795909.0,5092612.0,2739139.0
12,1997 to 1998,2454540.0,5468862.0,3013817.0
13,1998 to 1999,2990842.0,4380266.0,2439731.0
14,1999 to 2000,2577024.0,4832952.0,2601542.0
15,2000 to 2001,2147976.0,5127378.0,2673581.0
16,2001 to 2002,3533662.0,4872126.0,3077408.0
17,2002 to 2003,4078374.0,5782278.0,2994855.0
18,2003 to 2004,3296743.0,4530030.0,2491105.0
19,2004 to 2005,2547656.0,4369822.0,2323274.0
20,2005 to 2006,2086588.0,4516716.0,2324744.0
21,2006 to 2007,1622294.0,4104272.0,2310859.0
22,2007 to 2008,1490870.0,5000426.0,2556680.0
23,2008 to 2009,827401.0,4645672.0,2381461.0
24,2009 to 2010,781394.0,4708088.0,2689820.0
25,2010 to 2011,931657.0,5008160.0,2689324.0
26,2011 to 2012,940847.0,5538810.0,2930685.0
27,2012 to 2013,1196013.0,5164030.0,2690036.0
28,2013 to 2014,1492532.0,3852698.0,2013087.0
29,2014 to 2015,1386855.0,3614744.0,1919763.0
30,2015 to 2016,1711373.0,3823866.0,2114673.0
31,2016 to 2017,1110983.0,4185858.0,2179773.0
32,2017 to 2018,1611211.0,4364320.0,2375952.0
33,2018 to 2019,1662837.0,4181326.0,2282908.0
