,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,239680.844611536,0.0,48.750423546,1190.798256339,0.258926587,,3678.044135623,0.0,0.0,29877.386047748,7.896478869999999,0.0,862.68715472,
Beach and Dune,4.112004163,3565.4888752,,489.9386469,,,66.22425066599999,18.676911447,0.0,34.31718386,1171.2670661000002,26.534557487,43.617039095,
Forest Plantation,687.021573467,,29937.30056737,24250.264931054,0.0,,24828.938769321998,,,1158.3763292639999,0.268163123,,1.072685822,
Grassland,102249.82098662501,62.54334606,6823.24459567,13412076.438945998,326.543061804,,657820.5524736149,30.928224739,48.803346464,74148.48078733,283385.3281444501,5430.2564578,12004.862163385,0.0
Mining,9.834647388,,0.346428333,707.039833195,11966.129380979999,,61.91903665899999,,,500.729305633,76.34809218299999,0.0,129.70013790299998,
Mosaic of Agriculture and Pasture,0.0,,,,,0.0,0.0,,,0.0,,,,
Natural Forest,2784272.4345559846,59.872674997000004,31515.213800872,752603.8603077829,10201.659179099,,336272301.84249794,124.41803777500002,58.203586779,24185192.9440695,725866.7743398141,1038.132495393,30175.441085284998,
Non Observed,1101.0390739000002,21.090198426999997,0.0,26.315536688,,,119.7310038,5107.245476078,0.0,1033.345528905,246.77205278800002,1.787257648,1.419461804,
Other Non Vegetated Area,0.089387616,,0.0,72.93812545,,,26.221742609999996,0.0,888.426608949,164.94455758499998,35.91064484699999,0.0,19.02927928,
Pasture,1748826.64661121,16.084509926,22851.640789691,83539.02466614,1896.4291256239999,,3081722.7955919,31.455424338,129.573242427,26125228.93254,71568.6922594,26.610106411,72539.3677594,0.0
"River, Lake and Ocean",4096.862080895001,380.29152550000003,110.42127720699997,119099.8603587,114.98742509099999,,245558.69861103495,90.24899110299998,4.638186469000001,48942.9561149,9621276.32464,140.81894308,264.07914549800006,
Salt flat,5.272578302,59.059003634,,1947.850734,4.2900151730000005,,646.970890006,8.758775537,0.0,119.7551316,389.21552409,23830.572272,12.690373157,
Urban Infrastructure,0.264460034,2.144502008,,0.089344983,42.401329245,,1.068266967,0.0,0.0,1.32895755,0.263952356,11.700769600000001,195009.05989150002,
Wetland,,,,0.0,,,,,,,,,,0.257921075
