,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,2095466.6189337228,4.097722803,16.571933057,39.710026806,559.4075785230001,,2650.1143760620002,3396.9756600709993,0.0,,25.844775124,11275.089864926998,4.316521246,4.653262316,0.0,131.00616558299998
Aquaculture,0.0,42840.61895800001,1.8705646360000001,,52.14725502,,107.567547395,5.9710660230000006,8.392341083000002,,0.178567993,40.785349629,59.842285327999996,11.576510178,19.531586176,0.0
Beach and Dune,30.983315719,1.2470513,108008.87998,,39.263386361,,191.22609045000002,30.446604244,48.10968283999999,,44.428487347,55.956225253999996,17.913468765,66.43656781700001,1.248600769,68.737585623
Forest Plantation,36.350409189,,,3354.60283211,0.0,,0.259285749,37.781347329,,,0.0,31.912899655,0.172738983,0.0,,
Grassland,2614.96031679,20.493601582,7.3945726380000005,0.872215473,3293893.2465070006,0.616753674,68314.73455095,37889.723705863,7.402724384,,933.4368195659999,20241.976403402,802.169336148,534.585793982,27.623042307,7.701957666
Mining,0.0,,,,0.6166614069999999,3636.1926183000005,1.222567138,0.968992566,,,0.0,0.086755322,0.175591028,0.0,,0.0
Mosaic of Agriculture and Pasture,28102.104875756,111.98028459999999,246.62377002999997,1.130872637,15447.329765857,0.704440417,6465598.901208405,104317.29110531301,0.267710742,0.0,1977.4468735,180419.92955853697,2627.790437566,1511.1640471160001,0.623934057,1419.4587259799998
Natural Forest,18231.486121428,23.782281803,3.747126996,218.946726717,24052.82043209199,4.913823755,155618.629426611,50659479.81444611,5.259576502,,1318.0637540800003,183728.751382836,9743.187461428995,1546.665724677,15.693875713,113.63400797899999
Non Observed,0.17416780399999998,10.444627105999999,15.873643335,,12.66757699,,0.714057288,1.6933612,10773.334279158,,0.08928631599999999,8.388818883999999,7.759569941,0.445444415,5.355091785,0.26771635099999996
Other Non Forest Natural Formation,,,,,,,0.0,,,0.088990027,,,,,,
Other Non Vegetated Area,127.734874107,8.119539813,172.78978292000002,0.0,573.011306947,0.0,2680.5697163509994,259.519619429,0.62479328,,107303.83237209999,10083.844500446,199.84592011,2568.7377236219995,0.089038776,108.33684268099998
Pasture,87594.94342371503,4.899723608,88.38052653,52.321613916,5396.1219642529995,0.260601849,71232.8331908,94113.66561693703,0.264516584,,3897.6127014229996,21311487.08007776,802.6527221400002,1690.085878964,0.0,1428.26391111
"River, Lake and Ocean",5.468036194,165.887968625,1.425480548,1.138974139,508.8500955889999,0.088110175,8570.829280311,15181.785337885005,6.416232312,,424.85797675800006,3840.0106145790005,628499.459381906,201.72742744,1.0697549739999999,4.733014862
Rocky outcrop,52.57208605,8.907693066,1.5139402219999998,0.0,1173.6246422539998,0.0,767.0514422890002,5178.542234992001,0.17815070800000002,,346.190520522,2974.4028401829996,219.050139402,66976.3552858,0.623477661,7.809258587999999
Salt flat,0.0,13.467000237999999,1.782416724,,108.27383545999999,,0.891159149,18.619434114,6.422250348,,3.6596427370000004,0.17808266600000003,2.8524357480000004,0.712511359,16107.405131,0.17843005399999998
Urban Infrastructure,0.17749528800000003,0.0,25.851806621999998,,0.355174256,0.0,1.861091156,2.212168895,0.089214813,,0.177676832,1.5017980469999999,0.0,0.0,0.535264984,242160.57636200002
