,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,6927103.123129642,0.26789118,15664.896395780002,156539.94308817998,9.455372052000001,5.677209893,82213.90241308301,0.0,,16321.475167217002,1122767.231231733,767.274182922,,0.892960687,17986.769435650993,0.0
Beach and Dune,0.0,96353.65545527,,362.9229722,,,343.83095195000004,28.31283034,,779.1199675560001,373.37116309699996,2457.04691476,,83.85503944,0.26789031399999996,
Forest Plantation,34181.249318092,,910909.257008596,958.661878015,1.1794700740000001,0.0,12637.917585242001,,,85.56625919700001,16836.30747313,0.0,,,249.681864824,0.0
Grassland,1228807.6233309195,898.054974,20197.149434404,17001458.449849002,123.21812362200001,0.0,69915.64706013,0.425997669,,45475.688757289005,727131.1939054,11264.518190541,,487.0598056,13610.097451,0.171977148
Mining,15.143276539999999,,0.0,62.760081978,10015.918277620001,,80.02877837999999,,,259.00107211700004,155.24224453099998,104.210661898,,,69.955552917,
Mosaic of Agriculture and Pasture,23.346682942999998,,0.5775605220000001,0.0,,114.23327286700001,3.265913952,,0.0,0.166178345,8.448738275,0.16439895,0.0,,0.50221474,0.083217517
Natural Forest,3756384.2988442304,1494.0241360400003,524527.33049465,293892.9190084371,1233.521369473,2.93215758,93734822.96456897,4.390807208000001,0.0,79414.11665596798,14110281.049171098,282958.42995587894,0.0,585.7253802800001,39474.07746401,0.0
Non Observed,0.33877875300000004,2.947031403,,0.0,,,2.9084375799999997,6.459562531000001,,0.44649574,0.668757556,7.629678669,,1.071599329,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.453735876,,0.17261449,,,,,
Other Non Vegetated Area,32618.536103569008,745.6021357000001,1970.522364257,22439.941270599003,7.650141309,0.446390296,18334.720958874997,0.357235284,,304346.08958752005,67150.05495141,3429.8287943920004,,216.541302,13733.58421671,
Pasture,4833960.212323995,202.0092405,363639.83229255205,346590.9859434,1601.2202625830002,36.508143284,2680494.676336566,2.2298725459999997,0.0,27601.147658440004,46882048.038327,80285.090026633,,226.7194248,130054.6300336,0.08290201400000001
"River, Lake and Ocean",568.764991178,3682.667220197,0.6792720460000001,4156.961921702,82.93940626100002,0.16450766,18705.476187225,13.05741076,,4801.613276768,9614.068039052,926487.5313506001,,777.1246172,211.936919977,
Rocky outcrop,,,,,,,0.0,,,,,,0.764305853,,,
Salt flat,0.0,70.82108518,,121.64297659999998,,,528.3655737799999,0.0,,8.30622489,0.446545184,36.52472981,,6915.634076389,0.0,
Urban Infrastructure,0.0,0.089296454,0.0,0.082865186,2.1235497380000004,,0.786872888,,,0.086650128,1.2007077700000002,0.0,,4.286266089,296661.0288595,
Wetland,,,,0.770007648,,0.166451453,0.500861469,,,,0.083709875,0.0,,,,5.1345738889999994
