,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10881294.074146185,0.0,0.0,1809.4421162340002,179.037241859,0.322717285,78884.20712744202,2233.074931341,0.159821606,77.318762971,185.83399243,50555.018201423,34.439427165,0.083835425,0.08843797,893.8600950940001,14.782425548
Aquaculture,0.0,3563.98444779,0.0,0.0,,,0.253652374,0.0,0.0,0.0,0.345478436,0.263111615,16.265046362,,0.17679576400000002,0.0,
Beach and Dune,0.696423987,0.0,82981.90548990002,0.0,,,177.97950817999998,0.34198399,54.80657266400001,66.80464923299999,1081.349948614,1142.907048836,8.738422407000002,0.0,0.262353692,164.82010210899998,0.082995343
Forest Plantation,3156.57418911,0.0,0.0,1616951.720306067,5.192382251,0.252374872,933.717290833,3466.266414884999,0.0,0.853937012,2.5007538439999997,1856.7736084909998,1.77356792,0.168456732,0.0,12.290377361999997,140.60391286499998
Grassland,1323.2901799999997,,,8.436617487,1465290.740136252,0.0,4612.14827032,1963.99267172,0.0,,125.11984531,6730.379330693,8.741490766,,,0.317177795,0.0
Mining,0.0,0.0,,0.084164795,0.0,22677.579512799995,3.802760999,1.346321473,,,3.357384259,5.684972870999999,3.660834747,1.260002222,,2.778861548,
Mosaic of Agriculture and Pasture,230346.88155101798,25.613454948999998,68.510974586,3982.134008351,454.213722718,5.478663214999999,17182663.342450004,88789.27276756702,16.273134759,1866.643496329,2789.971424325,189806.6007686,837.4206773439998,451.45334578300003,38.609274927,5360.466628969999,3103.450229106
Natural Forest,1251.4669675859998,0.0,20.644880249000003,13611.201309992999,596.760831584,11.058344362000001,150230.36690576503,33358464.11906053,9.702325715,752.0067112290002,1205.21953674,33717.93323214001,1816.8260665010002,495.391912517,12.657236554000002,366.68837549399996,7534.4497739729995
Non Observed,0.44141741300000004,0.0,32.499186650999995,0.165040289,0.0,,27.257328668000003,10.139750824,325.02926051000003,0.51696781,47.589027953999995,5.6455426630000005,8.467524841000001,0.0,2.2485344059999997,9.525425629,0.0
Other Non Forest Natural Formation,6.831505603,0.348215503,24.989811398,12.483467447999999,,,1026.124795444,1294.223823061,0.347257935,100637.97217721399,128.346658034,647.4530534219999,65.160177014,4.5300587100000005,13.73040906,1.382706293,0.0
Other Non Vegetated Area,156.18272681899998,3.633123652,118.415811448,59.905559639,5.107158142,0.92536062,3921.2817455380005,196.753647248,34.6402901,131.575293019,118249.49288245,1860.179842054,158.107804508,74.704140964,3.4317759029999997,737.5365367659999,21.261715875999997
Pasture,27230.411230055004,0.422442102,91.210077122,3926.975317881999,2248.4926336000003,3.62949936,352935.3201427,22482.954861308,2.4693563419999998,1093.3163934600002,1380.6471212639995,40891054.897815995,82.31266645499997,178.505709145,2.739215301,2801.140102264,732.9854820049999
"River, Lake and Ocean",32.721736402,20.742870807000003,131.926393055,5.1639338640000005,0.395159375,0.320332734,140.15983518399997,147.767655168,9.315513545,15.753130733999997,204.53212014700003,31.913399466999998,1800903.5476239999,0.2573164,36.85423845999999,17.239503248,90.397571702
Rocky outcrop,0.0,,0.0,33.13090978,,2.1834681209999998,345.27165194200006,354.98119995400003,0.0,0.5963523740000001,44.237248595000004,285.001974694,1.6228289059999998,149241.71560599998,,0.757619684,
Salt flat,0.088207404,0.0,0.706529907,0.0,,,24.465597728000006,2.8548138240000003,2.865877381,3.9626409790000006,3.7659853769999994,0.510272638,23.407629316999998,,9338.90473876,2.451751958,0.0
Urban Infrastructure,0.827116046,0.0,71.70165480899999,0.0,0.0,0.7575072379999999,15.830341699999998,0.566183356,9.362534528,0.0,4.009982989,4.871911030000001,1.3304759649999998,0.0,3.645383013,1242753.890397,0.0
Wetland,76.66704774099999,,0.0,49.783561160000005,0.0,,2314.3123661940003,1680.8150751970002,0.0,0.166037842,25.426840653,751.798061251,1340.1720743970002,,0.262178809,0.083050012,393645.08233670006
