,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6180133.194699999,0.0,0.766229211,2417.2939257900002,222475.2323,0.305757465,0.079103601,15229.84856796,0.153197461,1569.86213975,0.0,2140.1697145539997,1.460492261,71.91655494,497.850762131
Aquaculture,0.0,12.01891569,,,,,,,,,,0.0,,0.0,
Beach and Dune,0.306871228,,98653.29826,0.0,4.34204137,,,0.0,2.047499689,321.93654510000005,,84.09129651,,0.465797705,0.0
Forest Plantation,1556.18562115,,0.07661332400000001,156899.9772,15.02739996,0.387984314,,285.485719,,2.296451959,,0.0,0.0,0.387855444,0.075610419
Grassland,146059.290148,0.0,58.69616162,5078.345960000001,7821668.103999999,0.616082251,,18882.27872,0.304693439,3534.194162,,1254.3714710000002,6.901101037999999,92.81892401,1385.084372
Mining,0.0,,,0.076455237,0.0,767.5824406,,0.0,,0.383391705,,0.077579639,0.995967114,0.229377185,
Mosaic of Agriculture and Pasture,0.078120947,,,0.0,,,44.98266534,0.233702911,,0.0,0.0,0.0,,0.0,
Natural Forest,14804.647609689999,,0.0,2445.818236,9752.215817,0.840834277,0.0,2298450.534,0.0,94.94369776,0.0,603.0633541,0.07742016,42.27249711,160.32659180000002
Non Observed,0.228165576,,7.964895001,,0.153109802,,,0.15436037,67.32665767,5.447509131,,1.138420099,,0.0,0.0
Other Non Vegetated Area,3012.52338144,,170.44609509999998,1.475255243,1307.373466,0.0,0.0,31.02523625,6.744701323999999,163652.6835,,78.85931307,95.78095897,50.02140775,0.303751599
Pasture,0.0,,,0.0,,,0.0,0.0,,,9.081826196,,,0.0,
"River, Lake and Ocean",2276.925988732,0.0,3.721098651,0.23179375,2429.24212,0.0,,270.78242420000004,5.468462787000001,304.2120386,,1857598.92,0.9187122990000001,0.15554525800000002,187.3424211
Rocky outcrop,7.5764876160000005,,,0.0,28.01039465,0.0,,0.0,,159.4653439,,0.537802765,13522.12401,0.0,
Urban Infrastructure,0.077730273,0.0,2.073726263,,0.15544111900000002,0.229305249,,0.07777088,0.155597333,0.307722021,,0.0,,100436.05900000001,0.0
Wetland,179.8922499,,0.0,0.076864111,578.142054,,0.0,94.44795632,0.0,8.150127582,,66.71070966,,0.076024176,237412.0755
