,Agriculture,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Urban Infrastructure,Wetland
Agriculture,328.94583771699996,0.0,147.41206377,,,2.9575992,0.0,,1107.1577587,23.69640015,2.579523193,13.408320912999999
Forest Plantation,0.0,20.048800890000003,0.0,,,6.471335223,0.0,,0.0,0.0,,0.0
Grassland,191.40095373499997,0.0,3823025.402,1.014579407,,33930.378927,14.937258351999999,0.0,140459.1313,575.7412629,92.343274389,462958.6346
Mining,,,0.507254541,490.55523560000006,,1.859618274,0.0,,0.253672473,0.169119806,,0.0
Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,651.173487657,1.972927277,115574.72257700001,5.83345174,,4861831.916108999,56.491047627,0.0,194733.66361,62.108764421000004,38.885192482,673.19053127
Non Observed,0.0,,26.413721301000002,0.0,,1.017684942,177.90026725,,166.532823787,1.5343015379999998,5.244237891,1.5266251040000003
Other Non Vegetated Area,0.0,,0.0,,,0.0,0.0,14.13392507,4.570394983,,4.654660895,
Pasture,1141.37550718,0.0,51986.52589,0.507241571,,22909.154698000002,1.101104499,0.9308898440000001,1093396.2074,81.50715650999999,198.55017894000002,858.5643281
"River, Lake and Ocean",6.614996942,0.0,5526.499506,0.0,,373.695893301,9.004852007999999,,299.5741933,467493.335,0.602319104,16015.786723000001
Urban Infrastructure,,,0.0,,,,0.0,,0.0,,3863.5359689999996,
Wetland,4.711666278,0.0,1396611.5285999998,,,644.22213264,1.356577392,,16289.572222,3231.9362020000003,0.25393316,2375972.5513
