from_level_2,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,101359.843660953,0.0,0.0,0.17483273300000002,0.0,,0.17431824399999998,0.0,0.0,0.523318451,0.0,0.0,1252.466174,
Beach and Dune,0.0,3249.09402,,35.748806961,,,0.893696765,14.477392985,0.0,0.714936633,52.274533862999995,2.144730567,0.089374243,
Forest Plantation,0.0,,46470.907699999996,3.664995599,0.0,,5.989113171,,,5.631339355000001,0.0,,24.305668368,
Grassland,0.701704401,17.607111017,4.469556798999999,14831105.393597998,1.232879053,,222379.841123303,41.571287315000006,0.089387329,101548.09286668002,173958.2694986,326.33159452,4337.8954459,0.0
Mining,0.0,,0.0,3.023301441,11944.79085827,,2.316509058,,,1.155889411,0.357560968,0.0,0.266732074,
Mosaic of Agriculture and Pasture,0.0,,,,,0.516155884,0.0,,,2.236363184,,,,
Natural Forest,2.221315784,0.71491156,10.816090699,107432.026463874,0.17781636399999998,,378542542.15002763,44.50219061599999,7.776178527999999,827915.3214933749,233553.307164099,16.078763319,1038.411856088,
Non Observed,0.0,10.456427478,0.0,11.581035999000001,,,66.70297304900001,8245.48103325,0.0,4.974431104000001,174.370507519,1.161880115,0.17857066700000002,
Other Non Vegetated Area,0.08725126300000001,,0.0,113.86944550000001,,,161.780761293,0.0,1009.6601427159999,60.846835788,1733.607084,0.0,0.08854187,
Pasture,10.984393492,0.357570844,5.631468011,18534.167238239,0.178779157,,750659.27156132,11.95081709,2.234531708,15620215.5442,30040.960497910004,4.289961218,10417.969822477,0.0
"River, Lake and Ocean",0.0,74.71313172,0.0,18460.976266166,0.0,,54412.486754113,35.007429315,0.26662759399999997,6082.997632230999,9361463.15712,14.381122486999999,106.258628991,
Salt flat,0.0,0.089316205,,227.07096894,0.0,,5.452308184,1.16117243,0.0,0.803914826,17.242503817,20819.472403,0.0,
Urban Infrastructure,0.0,0.0,,0.089311725,0.0,,0.0,0.0,0.0,0.353844635,0.35581247,0.08931516099999999,88377.3836729,
Wetland,,,,0.0,,,,,,,,,,0.429651965
